1,1,1,1,بسم الله الرحمن الرحيم
2,1,1,2,الحمد لله رب العالمين
3,1,1,3,الرحمن الرحيم
4,1,1,4,مالك يوم الدين
5,1,1,5,إياك نعبد وإياك نستعين
6,1,1,6,اهدنا الصراط المستقيم
7,1,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين
8,2,2,1,الم
9,2,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين
10,2,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
11,2,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون
12,2,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون
13,3,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
14,3,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم
15,3,2,8,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين
16,3,2,9,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون
17,3,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون
18,3,2,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون
19,3,2,12,ألا إنهم هم المفسدون ولكن لا يشعرون
20,3,2,13,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون
21,3,2,14,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون
22,3,2,15,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون
23,3,2,16,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين
24,4,2,17,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
25,4,2,18,صم بكم عمي فهم لا يرجعون
26,4,2,19,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين
27,4,2,20,يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء قدير
28,4,2,21,ياأيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
